Store ID,Nombre,Distrito,Direccion
8911,TAMBO ANGAMOS-C12 - SURQUILLO,SURQUILLO,"Avenida Angamos Este 1256, Lima, Perú"
8991,TAMBO MARQUEZ-C8 - JESUSMARIA,JESUSMARIA,"Avenida Arnaldo Márquez 1500, Jesús María, Perú"
9001,TAMBO MARSANO-C15 - SURQUILLO,SURQUILLO,"Avenida Tomás Marsano 1529, Surquillo, Perú"
9043,TAMBO PACHACUTEC - VMT,VMT,"Avenida Pachacutec 2313, San Juan de Miraflores, Perú"
9092,TAMBO BERTELLO-C6 - CERCADO DE LIMA,CERCADO DE LIMA,"Avenida Alborada 1398, Lima, Perú"
9112,TAMBO UNIVERSITARIA-C100 - COMAS,COMAS,"Avenida Universitaria 10088, Comas, Perú"
9132,TAMBO BERNALES-C4 - SURQUILLO,SURQUILLO,"Avenida Sergio Bernales 456, Surquillo, Perú"
9147,TAMBO LA FONTANA - LA MOLINA,LA MOLINA,"Avenida la Fontana 134, Lima, Perú"
9164,TAMBO LOSANGELES-C3 - COMAS,COMAS,"Avenida los Ángeles 305, Comas, Perú"
9178,TAMBO HUMACHUCO-C14 - JESUS MARIA,JESUS MARIA,"Jirón Huamachuco 1499, Jesús María, Perú"
9190,TAMBO HUALLAGA-C4 - CERCADO DE LIMA,CERCADO DE LIMA,"Jirón Huallaga 487, Lima, Perú"
9221,TAMBO CE-CENTRICA - EL AGUSTINO,EL AGUSTINO,"Nugget 125, El Agustino, Perú"
9250,TAMBO GARCILAZO-C12 - CERCADO DE LIMA,MIRAFLORES,"Avenida José Pardo 392, Miraflores, Perú"
9273,TAMBO PACHACAMAC - PACHACAMAC,PACHACAMAC,"Jiron Miguel Grau 878, Pachacamac, Perú"
9279,TAMBO URUGUAY-C3 - CERCADO DE LIMA,CERCADO DE LIMA,"Avenida Uruguay 339, Lima, Perú"
9281,TAMBO CARDENAS - LINCE,LINCE,"Calle Teodoro Cárdenas 282, Lima, Perú"
9328,TAMBO CAMANA-C7 - CERCADO DE LIMA,CERCADO DE LIMA,"Jirón Camaná 790, Lima, Perú"
9371,TAMBO CALLE-A - SANTIAGO DE SURCO,SANTIAGO DE SURCO,"Avenida Guardia Civil Sur 1035, Chorrillos, Perú"
9425,TAMBO PUCUSANA - PUCUSANA,PUCUSANA,"Avenida Leoncio Prado 306, Pucusana, Perú"
9430,TAMBO-LURIGANCHO-C9-SJL,SJL,"Avenida Lurigancho 988, San Juan de Lurigancho, Perú"
9432,TAMBO - EJERCITO-C7 - MIRAFLORES,MIRAFLORES,"Avenida del Ejército 705, Miraflores, Perú"
9436,TAMBO C-INCA-C25 - SURCO,SURCO,"Avenida Caminos del Inca 2519, Lima, Perú"
9439,TAMBO SAN JUAN - SJM,SJM,"Avenida San Juan 928, San Juan de Miraflores, Perú"
9442,TAMBO BOCANEGRA2 - CALLAO,CALLAO,"Avenida los Dominicos 922, Callao, Perú"
9456,TAMBO ELPOLO - SURCO,SURCO,"El Polo 514, Santiago de Surco, Perú"
9479,TAMBO ALDEBARAN - SURCO,SURCO,"Jiron Aldebarán 104, Santiago de Surco, Perú"
9481,TAMBO VILLALEJANDRO - LURIN,LURIN,"Jorge Eliécer, Lurín 15822, Lurín, Perú"
9490,TAMBO COLONIAL-C1 - CERCADO DE LIMA,CERCADO DE LIMA,"Avenida Óscar R. Benavides 199, Lima, Perú"
9498,TAMBO PETIT-C15 - LINCE,LINCE,"Avenida Petit Thouars 1598, Lince, Perú"
9532,TAMBO GAVIOTAS2 - SURCO,SURCO,"TAMBO GAVIOTAS2, Santiago de Surco, Perú"
9578,TAMBO GUARDIACIVIL-C5 - CHORRILLOS,CHORRILLOS,"Avenida Guardia Civil Sur 513, Chorrillos, Perú"
9611,TAMBO REVOLUCION2-VES,VES,"Villa El Salvador, Villa EL Salvador, Perú"
9613,TAMBO BENAVIDES-C19 - MIRAFLORES,MIRAFLORES,"Avenida Alfredo Benavides 1901, Miraflores, Perú"
9632,TAMBO-PIRAMIDE-SJL,SJL,"Avenida Piramide del Sol 403, Lima, Perú"
9672,TAMBO UNIVERSITARIA-C80 - COMAS, COMAS,"Avenida Universitaria 8021, Comas, Perú"
9680,TAMBO CANTACALLAO-C3-CALLAO,CALLAO,"CANTACALLAO-C3-CALLAO, Callao, Perú"
9700,TAMBO-AREQUIPA-C19-LINCE,LINCE,"Avenida Arequipa 1900, Lince, Perú"
9713,TAMBO PANDO - SAN MIGUEL,SAN MIGUEL,"Avenida Universitaria 728, San Miguel, Perú"
9731,TAMBO ESMERALDA-CARABAYLLO,CARABAYLLO,"Vía Metropolitana, Carabayllo 15121, Carabayllo, Perú"
9745,TAMBO ZELA - LINCE,LINCE,"Avenida Juan Pardo de Zela 850, Lince, Perú"
9770,TAMBO HEROES - SJM,SJM,"Avenida los Héroes 171, San Juan de Miraflores, Perú"
9789,TAMBO SANTAELVIRA - LOS OLIVOS, LOS OLIVOS,"Av Sta Elvira Mz. A, Los Olivos 15306, Perú, Los Olivos, Perú"
9809,TAMBO 28DEJULIO-C10 - CERCADO DE LIMA,CERCADO DE LIMA,"Avenida 28 de Julio 1000, Lima, Perú"
9813,TAMBO ARGENTINA-C39 - CALLAO,CALLAO,"Avenida Argentina 3990, Callao, Perú"
9823,TAMBO MARINA-C32 - SAN MIGUEL,SAN MIGUEL,"Avenida de la Marina 3289, San Miguel, Perú"
9837,TAMBO SANCHEZCARRION-C2 - SAN ISIDRO,SAN ISIDRO,"Avenida Faustino Sánchez Carrión 302, San Isidro, Perú"
9845,TAMBO DIEGO-DE-ALMAGRO - JESUS MARIA,JESUS MARIA,"Jirón Diego de Almagro 464, Jesús María, Perú"
9872,TAMBO DOMINICOS-C5 - CALLAO,CALLAO,"Avenida El Olivar 598, Callao, Perú"
9876,TAMBO-T-ASPERO-SJL,SJL,"Templo de Aspero 334, San Juan de Lurigancho, Perú"
9879,TAMBO-MARINA-C16-PUEBLO LIBRE,PUEBLO LIBRE,"Avenida de la Marina 1622, Pueblo Libre, Perú"
9880,TAMBO COLLIQUE - COMAS,COMAS,"Avenida Túpac Amaru 7901, Comas, Perú"
9881,TAMBO UCAYALI - CERCADO DE LIMA,CERCADO DE LIMA,"Jirón Ucayali 326, Lima, Perú"
9890,TAMBO BRASIL-C13 - PUEBLO LIBRE,PUEBLO LIBRE,"Avenida Brasil 1306, Pueblo Libre, Perú"
9909,TAMBO AYACUCHO-C13 - SURCO,SURCO,"Avenida Ayacucho 1355, Santiago de Surco, Perú"
9954,TAMBO-TOLOMEO-C1-CHORRILLOS,CHORRILLOS,"Tolomeo 160 - 164 Urb, Chorrillos, Perú"
9961,TAMBO ARRIOLA - LA VICTORIA,LA VICTORIA,"Avenida Nicolás Arriola 397, La Victoria, Perú"
9984,TAMBO TDA SAN BORJA - SAN BORJA,SAN BORJA,"Avenida San Borja Norte 996, San Borja, Perú"
